,Size,Value,Momentum,Profitability,Investment
2007-01-01,0.2358230446687547,0.15122790128670324,0.13399802102217992,0.2658689842804828,0.21308204874187928
2007-02-01,0.23582285171827097,0.15119312488510525,0.13399068067587078,0.26588142216466704,0.2131119205560859
2007-03-01,0.23592778382177018,0.15121614348427365,0.1339446749909404,0.26586364275257746,0.21304775495043826
2007-04-01,0.23592874501055408,0.15120476535361255,0.1339624091899184,0.2658761435304317,0.21302793691548316
2007-05-01,0.23579033442354835,0.1510746766319131,0.13394095691060842,0.2660073670290145,0.21318666500491573
2007-06-01,0.23581199520515014,0.15106069970329727,0.13391912882291349,0.26610654164982267,0.21310163461881643
2007-07-01,0.23582392685941586,0.1510351397211068,0.13391525701257864,0.2661220277883668,0.2131036486185319
2007-08-01,0.23545106381298492,0.15070090575950176,0.13429086712126237,0.2663694161727538,0.21318774713349717
2007-09-01,0.23550352057957682,0.1506178980414054,0.13436868983730452,0.26623394666839795,0.21327594487331536
2007-10-01,0.23527644432824046,0.1507082866804426,0.13494171257132576,0.2662890494880563,0.21278450693193496
2007-11-01,0.23526940509110134,0.15064523213076353,0.13500408498342575,0.26627184618425764,0.21280943161045163
2007-12-01,0.2350644632680887,0.15057891765144607,0.1350484619216012,0.266501216749763,0.21280694040910106
2008-01-01,0.23508495887411207,0.15060122186337985,0.13488936067249352,0.26647517781629815,0.21294928077371644
2008-02-01,0.2350875649856439,0.15059489877949148,0.13490703160808504,0.2664653719722705,0.21294513265450918
2008-03-01,0.23511900951793857,0.15061070702131302,0.13482329519670802,0.2664385696944482,0.2130084185695922
2008-04-01,0.2351398678788168,0.15066292950767085,0.13471681084350567,0.2664275123878239,0.21305287938218273
2008-05-01,0.23510897264654054,0.15069319606098283,0.13470772699390857,0.2668192052534131,0.2126708990451549
2008-06-01,0.23490335814141508,0.15093028796357014,0.13466448259603953,0.26676033295125273,0.21274153834772255
2008-07-01,0.2351714258224899,0.15215574096587967,0.13355457708010554,0.2653965681994269,0.21372168793209806
2008-08-01,0.23499956387363485,0.15195615475635857,0.13372295431347014,0.26554101541780845,0.21378031163872796
2008-09-01,0.23480028781091536,0.15198290165528416,0.13400057914965904,0.26536639541375145,0.21384983597038984
2008-10-01,0.2350125373429592,0.15146634003455564,0.1342295861436279,0.2651547773324641,0.21413675914639313
2008-11-01,0.23532976944187242,0.15170952561996298,0.13399801168590447,0.26496616054692057,0.2139965327053396
2008-12-01,0.2355835356899564,0.15211156926505381,0.1338895432506167,0.2646706700590007,0.21374468173537228
2009-01-01,0.23585213940946337,0.15214290780437612,0.13368843393449614,0.26475240421688157,0.2135641146347829
2009-02-01,0.235853601165917,0.1493619856738299,0.1336106285014654,0.2660170268611536,0.21515675779763396
2009-03-01,0.2357718338611696,0.14881361704555046,0.13383052271004137,0.2662589955540626,0.21532503082917606
2009-04-01,0.23650964042979358,0.1502829489310171,0.13261355235554834,0.26590787448226455,0.21468598380137638
2009-05-01,0.23838304336527827,0.1508988972933984,0.12893300591190074,0.2671754774659988,0.21460957596342375
2009-06-01,0.23842733589058973,0.1518348182987148,0.12751523097141212,0.2678543482611553,0.21436826657812802
2009-07-01,0.23842958506103476,0.15183244887540506,0.12751775835697798,0.26785170009928233,0.2143685076072998
2009-08-01,0.2383238691227035,0.1516571400364874,0.12782829503009077,0.2680191161909944,0.21417157961972402
2009-09-01,0.23830654046349714,0.15194935993032693,0.12764201998019722,0.26775831483420925,0.2143437647917693
2009-10-01,0.23825090892797318,0.1519542985500261,0.12771365997148668,0.26771863630561477,0.2143624962448993
2009-11-01,0.23778035828184155,0.15159355760222273,0.12781623588319474,0.26853650681504276,0.2142733414176983
2009-12-01,0.23757298295468168,0.1515970602464506,0.1278472649756808,0.268665815295066,0.21431687652812095
2010-01-01,0.2367133195028691,0.15190372458860307,0.12789772306739516,0.26871148636482417,0.21477374647630837
2010-02-01,0.2368247322443204,0.15195989605293314,0.12765054952242563,0.26861278379057807,0.21495203838974286
2010-03-01,0.2367920039287793,0.15176100094277248,0.1275359685491977,0.2689274513652349,0.2149835752140157
2010-04-01,0.23672068143158612,0.1516921129340157,0.1274396225353202,0.26925193867181785,0.21489564442726025
2010-05-01,0.2360153703041432,0.15168896719168934,0.1275329930327425,0.2696367196024645,0.21512594986896047
2010-06-01,0.23602681659384245,0.15156852666043155,0.12750783519948491,0.26975741080472926,0.21513941074151177
2010-07-01,0.23584193521981756,0.1509917580375659,0.1274502153485765,0.2703284402191334,0.2153876511749066
2010-08-01,0.23586148521862133,0.1510407256148509,0.12744496745032902,0.2703498043277355,0.21530301738846333
2010-09-01,0.23553886411518432,0.15105187561543873,0.1275688945662114,0.2706952358728987,0.21514512983026698
2010-10-01,0.23545570596872822,0.1511404515570272,0.12757389238299915,0.2707060017303924,0.215123948360853
2010-11-01,0.23546402547820047,0.15110922210240468,0.12757498410883056,0.2707322250601368,0.2151195432504276
2010-12-01,0.23518779078036076,0.15144561825515884,0.1275907628321984,0.27084728124589347,0.21492854688638854
2011-01-01,0.2351999329698915,0.15150446816303847,0.12756414265238245,0.2706933937919292,0.21503806242275839
2011-02-01,0.23501262411415888,0.151586789726816,0.12759365923232144,0.2706016847201208,0.21520524220658296
2011-03-01,0.23499655940057756,0.1515750277456717,0.12758304379524102,0.27064880237085676,0.21519656668765308
2011-04-01,0.23483921319741313,0.1518247373327995,0.12755527081911902,0.270480574784555,0.21530020386611348
2011-05-01,0.23483150513393175,0.1516852631094779,0.1275485464307656,0.2706718927054357,0.215262792620389
2011-06-01,0.23481454958634748,0.15159803984062972,0.12751389958904893,0.27094277977377385,0.21513073121020002
2011-07-01,0.23481549661263718,0.15160135719589807,0.12751021126731318,0.2708881308272711,0.2151848040968805
2011-08-01,0.23478290037882324,0.15158199111513337,0.12749885501262972,0.2710754002589687,0.21506085323444496
2011-09-01,0.23459379041358192,0.15141706332964092,0.1274579068914766,0.27145156086811106,0.21507967849718967
2011-10-01,0.23424016099131476,0.1512646799384136,0.12733185245302894,0.2719124108033427,0.21525089581389983
2011-11-01,0.2344457114591839,0.15131142175561782,0.12731093529833307,0.27174060644346854,0.21519132504339678
2011-12-01,0.23456077443775175,0.15148631828186607,0.12725481568456423,0.27160888857242227,0.21508920302339574
2012-01-01,0.23469382485807697,0.15153422381717221,0.1272696661102186,0.2716209052874409,0.2148813799270914
2012-02-01,0.23540524302982088,0.15168965733707845,0.1267123099109525,0.27143578549452896,0.21475700422761923
2012-03-01,0.235292343292303,0.15178197783236116,0.126740609221134,0.27140252964134287,0.21478254001285899
2012-04-01,0.23528187054058367,0.15179718671894216,0.12675009126510614,0.2713786202783827,0.21479223119698526
2012-05-01,0.2353243303232402,0.15185312928036204,0.12671054863606254,0.27133809397276487,0.21477389778757053
2012-06-01,0.2355560176356172,0.15228782396781265,0.1265076639504063,0.27120655013472206,0.21444194431144192
2012-07-01,0.23559528683667924,0.15231070819384293,0.12648947174149083,0.27113540214157833,0.21446913108640872
2012-08-01,0.23548644245489092,0.15231927453898858,0.1265440425059497,0.2711803550096449,0.21446988549052592
2012-09-01,0.23559571254585676,0.15254282531447483,0.12650047022916466,0.2710097621301214,0.21435122978038237
2012-10-01,0.23559952194779388,0.1525565847289445,0.1264922226761817,0.2709713219070744,0.21438034874000556
2012-11-01,0.2356229201548639,0.15252139079124097,0.12649213445374888,0.2710261687421967,0.21433738585794956
2012-12-01,0.2356236510850946,0.15251334449995418,0.12649092644325355,0.2710275322587427,0.2143445457129549
2013-01-01,0.23563135950060599,0.15252634070428775,0.12648502395388606,0.2710132929236918,0.2143439829175284
2013-02-01,0.2356551859635218,0.1525712666096185,0.12645332979808196,0.2708234299009044,0.21449678772787334
2013-03-01,0.23564532597049592,0.15257590779871655,0.1264690649229647,0.27078818475154354,0.2145215165562793
2013-04-01,0.23563768768192106,0.1526348318225491,0.1264614445854933,0.270813584951439,0.21445245095859752
2013-05-01,0.23550683648410728,0.15266917179661685,0.12647757617830885,0.27084298223365394,0.21450343330731306
2013-06-01,0.2356233672993955,0.15283110241937212,0.12645571327473465,0.27070189601124595,0.2143879209952518
2013-07-01,0.23562887123950677,0.1528302324534745,0.12645539443766984,0.27069941653534463,0.2143860853340043
2013-08-01,0.2356115084370475,0.15282577745245587,0.1264473122305,0.27073308308969674,0.2143823187902998
2013-09-01,0.2357050160307465,0.1526975420334595,0.12647457934413608,0.2709881424777769,0.2141347201138811
2013-10-01,0.2356938612779612,0.15269965771837113,0.12646968416292645,0.2709918122368803,0.2141449846038611
2013-11-01,0.23578594856296148,0.1527089727226641,0.12650878357199694,0.27084873771850443,0.2141475574238732
2013-12-01,0.23576869933987726,0.15271232648483843,0.12651308995333174,0.2708481578696671,0.21415772635228553
2014-01-01,0.23575410107061423,0.15273576540891173,0.12652739597581472,0.2707983783356095,0.2141843592090498
2014-02-01,0.23607675009500148,0.15287753707144802,0.1269196360861538,0.26996252923592434,0.21416354751147235
2014-03-01,0.23608280336627768,0.15288203404198863,0.1269500767221468,0.26994783529294075,0.21413725057664626
2014-04-01,0.23622672990740326,0.15270781236039632,0.12711593428657944,0.2698302110875361,0.21411931235808485
2014-05-01,0.23601717088321536,0.1527152313124485,0.12700239322897552,0.2700965907545205,0.21416861382083996
2014-06-01,0.23589421873683192,0.15281463505878556,0.12709292069309713,0.27012202215199693,0.21407620335928854
2014-07-01,0.23610169607718834,0.15285367711573697,0.12713013659474756,0.2699989282314812,0.21391556198084594
2014-08-01,0.23570328384728872,0.15288494084456616,0.1271629700201457,0.27016432912729965,0.21408447616069984
2014-09-01,0.23574039276147232,0.1528967489706061,0.1271998123606395,0.2701219312720004,0.21404111463528172
2014-10-01,0.23538442616018532,0.15284263860698455,0.1272825588129272,0.27041487210998566,0.2140755043099173
2014-11-01,0.23532247784855131,0.15288146287155674,0.12729695260395563,0.27042646076274873,0.2140726459131877
2014-12-01,0.2351583513940792,0.15264716044627463,0.12731287623657836,0.27067117339078756,0.21421043853228036
2015-01-01,0.23502188435874252,0.152572061749792,0.1273144119438032,0.27086664066648825,0.2142250012811741
2015-02-01,0.23499364717465426,0.15244478979818185,0.12740145253487983,0.27102736466291766,0.2141327458293664
2015-03-01,0.23525797595340364,0.15245651397636223,0.12729656977514522,0.2710314399949062,0.21395750030018276
2015-04-01,0.23510969043770055,0.15249298238913753,0.12726504822307616,0.2710571651957713,0.21407511375431454
2015-05-01,0.2347798783907881,0.1530091030022357,0.12682060356539632,0.27134045406748947,0.21404996097409057
2015-06-01,0.23480244554766744,0.1530115152625041,0.12689677901241941,0.27126225540170507,0.21402700477570388
2015-07-01,0.2347025885541435,0.15303109834821718,0.12686628496433486,0.271249899537156,0.21415012859614846
2015-08-01,0.23424483958925252,0.1528914233166736,0.12755490212019746,0.2713600218757125,0.21394881309816408
2015-09-01,0.23425451434841427,0.15284765315315496,0.12760784390000346,0.2713544458547878,0.2139355427436396
2015-10-01,0.2342913954423867,0.1528387089808599,0.12758131589965038,0.2713317395542996,0.21395684012280342
2015-11-01,0.2341375217605122,0.15278692015022396,0.12744828004795133,0.27151361175930966,0.21411366628200276
2015-12-01,0.2342383711943788,0.15280590991675036,0.12748779753985803,0.2713983632673701,0.21406955808164288
2016-01-01,0.23400972061750822,0.1526587851359399,0.12764983793336065,0.2714574615399133,0.214224194773278
2016-02-01,0.234380630187328,0.15269067354824864,0.1276786160198877,0.2712754541841218,0.21397462606041395
2016-03-01,0.2343733411256826,0.15285740025146327,0.12787301655741415,0.27102556606629746,0.2138706759991426
2016-04-01,0.23441751461872629,0.15288275131493537,0.12777306064339647,0.2710798027317983,0.21384687069114364
2016-05-01,0.23451403450907016,0.15307852389069748,0.12761048243556436,0.2707664070947321,0.21403055206993604
2016-06-01,0.23459078115959756,0.15319645792384204,0.12783816565158876,0.2707019171663442,0.21367267809862742
2016-07-01,0.23464857836708272,0.15346796311231076,0.12777547296597322,0.27063365879676693,0.21347432675786632
2016-08-01,0.23472105470817298,0.15343275240472518,0.1277191647674428,0.2707078127942014,0.21341921532545766
2016-09-01,0.23481116255626022,0.1535947578184818,0.1276644425925936,0.2705792359599001,0.21335040107276432
2016-10-01,0.23494637009819777,0.1535637057794614,0.12769317111078857,0.2703844787450479,0.21341227426650425
2016-11-01,0.23483899062045036,0.15366727018573925,0.1277066327663222,0.27040188169324036,0.21338522473424787
2016-12-01,0.23365786091158464,0.1527754440706809,0.12886456840370575,0.2713201202500017,0.2133820063640271
2017-01-01,0.23366125615354585,0.15264023031757062,0.12889983882894548,0.27126521346984056,0.21353346123009753
2017-02-01,0.23360911914074717,0.15247698656145126,0.12894588372380134,0.2713581760928815,0.21360983448111873
2017-03-01,0.23343947119368724,0.1525207339712987,0.12895041552836112,0.2716845594294387,0.2134048198772144
2017-04-01,0.23354952071946145,0.1523115110082331,0.12890278938139535,0.27184936918336616,0.213386809707544
2017-05-01,0.23357493657694828,0.15226018128971514,0.12889643762245565,0.27196248400173945,0.2133059605091415
2017-06-01,0.23329842686612115,0.15198857494905252,0.12908249755643875,0.2723801230303665,0.21325037759802118
2017-07-01,0.23333046270298666,0.15200991196378838,0.12908457793488906,0.2723301421863376,0.21324490521199824
2017-08-01,0.23323277482659524,0.15205921536524616,0.12918113957896718,0.2722450221202527,0.21328184810893855
2017-09-01,0.23313639815257103,0.1520632898220109,0.12941931726345623,0.27236952772493495,0.21301146703702675
2017-10-01,0.23277162670234314,0.15193921059971002,0.12956433517190163,0.2727402328505876,0.21298459467545758
2017-11-01,0.23269755024619979,0.15206679988558033,0.1297155447126171,0.27284777594345755,0.21267232921214535
2017-12-01,0.23271829679821393,0.15210029588753698,0.12975936707190092,0.2727109061738045,0.2127111340685437
2018-01-01,0.2326934805484649,0.15208196451106232,0.12973850944241078,0.27272283502318423,0.21276321047487787
2018-02-01,0.23241191782798817,0.1521523444288629,0.13006436225758633,0.27262405114287847,0.21274732434268415
2018-03-01,0.23243301157928473,0.15215833317582061,0.13011499198525095,0.2726540152451147,0.21263964801452898
2018-04-01,0.23235781177569717,0.15217682613713987,0.13014170275796452,0.2726707732339654,0.21265288609523295
2018-05-01,0.23238624688598178,0.1521967377788916,0.13016117488511492,0.27251793964417137,0.21273790080584043
2018-06-01,0.23241260601988445,0.1521862785141015,0.1301702892626346,0.2725038242894259,0.2127270019139536
2018-07-01,0.23246322320631183,0.15205869658868224,0.13009371841699444,0.27260103770682315,0.21278332408118844
2018-08-01,0.23239009410134626,0.15206437505480858,0.13005854889420404,0.2726917949871752,0.21279518696246585
2018-09-01,0.23248317107180316,0.15194431243252185,0.13024805937313852,0.27271190357204583,0.21261255355049072
2018-10-01,0.23232216667210695,0.15182530402961705,0.13024159295264728,0.2727775929830445,0.21283334336258422
2018-11-01,0.23229942501071194,0.15183194292994445,0.13023582342134343,0.2727794306286362,0.21285337800936405
2018-12-01,0.23226255489986464,0.1518743346876627,0.13020974286662776,0.2727248959169204,0.2129284716289245
2019-01-01,0.23203791906112003,0.1517764043675966,0.13032952793126348,0.2727438547137596,0.21311229392626035
2019-02-01,0.23258116498462736,0.15184389081412492,0.1298340561246804,0.2728750111421144,0.21286587693445286
2019-03-01,0.23269638789350988,0.1517555323569173,0.12983973667575163,0.27293032836558023,0.21277801470824098
2019-04-01,0.23234563748413123,0.15142760546599626,0.13005161150052746,0.27325555697251747,0.2129195885768277
2019-05-01,0.23231352303951722,0.15160801638600846,0.12997480954154894,0.27346043911127993,0.2126432119216455
2019-06-01,0.23235096136413977,0.15165217438804626,0.12991795624474006,0.2734974923318558,0.21258141567121813
2019-07-01,0.23238897588726282,0.15163235316772142,0.12984952096377936,0.27358007897651615,0.21254907100472034
2019-08-01,0.23234554745648334,0.15164883768854176,0.12988370446985606,0.2735602665118659,0.212561643873253
2019-09-01,0.23213237852885524,0.15141376749033275,0.13017427144755467,0.27362910400212104,0.21265047853113628
2019-10-01,0.23225798651901688,0.15109763762885572,0.13065310889894208,0.27352215815512093,0.21246910879806422
2019-11-01,0.23230190860665015,0.1510296371708049,0.1306544965603573,0.2736001317584689,0.21241382590371866
2019-12-01,0.23253363731288487,0.1509913699330694,0.13059243708886697,0.2734446436702138,0.21243791199496484
2020-01-01,0.23252492402842456,0.1509822306324525,0.13061566068065303,0.27345177307974267,0.2124254115787273
2020-02-01,0.23195916124610197,0.15049201989033575,0.1315537092545564,0.2734007257245926,0.21259438388441343
2020-03-01,0.23224739790768784,0.15032497609414788,0.13170699000286482,0.2733583424508201,0.21236229354447939
2020-04-01,0.23032040843395846,0.1474001676952507,0.13344335023593942,0.2732069882856165,0.21562908534923494
2020-05-01,0.23034619699697445,0.14738076350468504,0.13340827728449725,0.27325739751146483,0.2156073647023783
2020-06-01,0.23063053784362764,0.1471140981413979,0.13340799770997214,0.2735663727584183,0.21528099354658414
2020-07-01,0.23065142469388974,0.14708659610333416,0.13339685258159764,0.2735695988765119,0.21529552774466662
2020-08-01,0.23068440258156417,0.14709653699536032,0.13336438607171136,0.2735768208970958,0.21527785345426845
2020-09-01,0.23068165091408435,0.14708544917673594,0.13336098482237577,0.27360480592021447,0.2152671091665895
2020-10-01,0.23077558421255923,0.14704929606736375,0.13358459938097636,0.2734712610883473,0.21511925925075348
2020-11-01,0.23052148235233266,0.14686284990435128,0.13370512594386733,0.27357927254587266,0.2153312692535762
2020-12-01,0.23076116683650202,0.1468764709749372,0.13348975975584174,0.27349566987238033,0.2153769325603388
2021-01-01,0.2308885935065863,0.14683773484328178,0.13345671960621877,0.27343131914772184,0.21538563289619117
2021-02-01,0.2299620765099161,0.14693595980038568,0.13330883406633995,0.2755214764001314,0.214271653223227
2021-03-01,0.229804220083342,0.14671764675736626,0.1334591470215088,0.27549536267928504,0.21452362345849807
2021-04-01,0.23049373938660606,0.14640143903495703,0.13464188249213146,0.2739634140120785,0.214499525074227
2021-05-01,0.23030164907491596,0.146457394437076,0.13471287133813376,0.2743679220276563,0.2141601631222181
2021-06-01,0.2305565517781493,0.14588298448012166,0.13506071283995144,0.2742924363065494,0.2142073145952282
2021-07-01,0.23078790817848507,0.14504313283993178,0.1354068988584334,0.2740246219272922,0.21473743819585753
2021-08-01,0.23058520554103545,0.14494478687089443,0.13531193123516902,0.2744657063038874,0.21469237004901373
2021-09-01,0.23057736766481768,0.1450059551379856,0.13540067191879834,0.2744554909043954,0.214560514374003
2021-10-01,0.230578191223523,0.14475682964579895,0.13535974403136503,0.2748166908731078,0.2144885442262052
