Refit Date,Asset,Best Lambda,Validation Sharpe
2007-01-01,LargeCap,0.1,
2007-01-01,MidCap,0.1,
2007-01-01,SmallCap,0.1,
2007-01-01,EAFE,0.1,
2007-01-01,EM,0.1,
2007-01-01,AggBond,0.1,
2007-01-01,Treasury,0.1,
2007-01-01,HighYield,0.1,
2007-01-01,Corporate,0.1,
2007-01-01,REIT,0.1,
2007-01-01,Commodity,0.1,
2007-01-01,Gold,0.1,
2007-07-01,LargeCap,0.1,
2007-07-01,MidCap,0.1,
2007-07-01,SmallCap,0.1,
2007-07-01,EAFE,0.1,
2007-07-01,EM,0.1,
2007-07-01,AggBond,0.1,
2007-07-01,Treasury,0.1,
2007-07-01,HighYield,0.1,
2007-07-01,Corporate,0.1,
2007-07-01,REIT,0.1,
2007-07-01,Commodity,0.1,
2007-07-01,Gold,0.1,
2008-01-01,LargeCap,0.1,
2008-01-01,MidCap,0.1,
2008-01-01,SmallCap,0.1,
2008-01-01,EAFE,0.1,
2008-01-01,EM,0.1,
2008-01-01,AggBond,2.31013,
2008-01-01,Treasury,8.111308,
2008-01-01,HighYield,0.1,
2008-01-01,Corporate,0.1,
2008-01-01,REIT,0.1,
2008-01-01,Commodity,0.1,
2008-01-01,Gold,0.1,
2008-07-01,LargeCap,0.1,
2008-07-01,MidCap,0.1,
2008-07-01,SmallCap,0.1,
2008-07-01,EAFE,0.1,
2008-07-01,EM,0.1,
2008-07-01,AggBond,2.31013,
2008-07-01,Treasury,8.111308,
2008-07-01,HighYield,0.1,
2008-07-01,Corporate,0.1,
2008-07-01,REIT,0.1,
2008-07-01,Commodity,0.1,
2008-07-01,Gold,0.1,
2009-01-01,LargeCap,0.1,
2009-01-01,MidCap,0.1,
2009-01-01,SmallCap,0.1,
2009-01-01,EAFE,0.1,
2009-01-01,EM,0.1,
2009-01-01,AggBond,0.1,
2009-01-01,Treasury,0.1,
2009-01-01,HighYield,0.1,
2009-01-01,Corporate,0.1,
2009-01-01,REIT,0.1,
2009-01-01,Commodity,0.1,
2009-01-01,Gold,0.1,
2009-07-01,LargeCap,0.1,
2009-07-01,MidCap,0.1,
2009-07-01,SmallCap,0.1,
2009-07-01,EAFE,0.1,
2009-07-01,EM,0.1,
2009-07-01,AggBond,0.1,
2009-07-01,Treasury,0.1,
2009-07-01,HighYield,0.1,
2009-07-01,Corporate,0.1,
2009-07-01,REIT,0.1,
2009-07-01,Commodity,0.1,
2009-07-01,Gold,0.1,
2010-01-01,LargeCap,15.199111,
2010-01-01,MidCap,0.1,
2010-01-01,SmallCap,0.1,
2010-01-01,EAFE,0.1,
2010-01-01,EM,0.1,
2010-01-01,AggBond,0.1,
2010-01-01,Treasury,53.366992,
2010-01-01,HighYield,0.1,
2010-01-01,Corporate,53.366992,
2010-01-01,REIT,0.1,
2010-01-01,Commodity,0.1,
2010-01-01,Gold,0.1,
2010-07-01,LargeCap,15.199111,
2010-07-01,MidCap,0.1,
2010-07-01,SmallCap,0.1,
2010-07-01,EAFE,0.1,
2010-07-01,EM,0.1,
2010-07-01,AggBond,0.1,
2010-07-01,Treasury,53.366992,
2010-07-01,HighYield,0.1,
2010-07-01,Corporate,53.366992,
2010-07-01,REIT,0.1,
2010-07-01,Commodity,0.1,
2010-07-01,Gold,0.1,
2011-01-01,LargeCap,0.1,
2011-01-01,MidCap,0.1,
2011-01-01,SmallCap,0.1,
2011-01-01,EAFE,0.1,
2011-01-01,EM,0.1,
2011-01-01,AggBond,0.1,
2011-01-01,Treasury,0.1,
2011-01-01,HighYield,0.1,
2011-01-01,Corporate,0.1,
2011-01-01,REIT,0.1,
2011-01-01,Commodity,0.1,
2011-01-01,Gold,0.1,
2011-07-01,LargeCap,0.1,
2011-07-01,MidCap,0.1,
2011-07-01,SmallCap,0.1,
2011-07-01,EAFE,0.1,
2011-07-01,EM,0.1,
2011-07-01,AggBond,0.1,
2011-07-01,Treasury,0.1,
2011-07-01,HighYield,0.1,
2011-07-01,Corporate,0.1,
2011-07-01,REIT,0.1,
2011-07-01,Commodity,0.1,
2011-07-01,Gold,0.1,
2012-01-01,LargeCap,0.1,
2012-01-01,MidCap,0.1,
2012-01-01,SmallCap,0.1,
2012-01-01,EAFE,0.1,
2012-01-01,EM,0.1,
2012-01-01,AggBond,0.1,
2012-01-01,Treasury,0.1,
2012-01-01,HighYield,0.1,
2012-01-01,Corporate,0.1,
2012-01-01,REIT,0.1,
2012-01-01,Commodity,0.1,
2012-01-01,Gold,0.1,
2012-07-01,LargeCap,0.1,
2012-07-01,MidCap,0.1,
2012-07-01,SmallCap,0.1,
2012-07-01,EAFE,0.1,
2012-07-01,EM,0.1,
2012-07-01,AggBond,0.1,
2012-07-01,Treasury,0.1,
2012-07-01,HighYield,0.1,
2012-07-01,Corporate,0.1,
2012-07-01,REIT,0.1,
2012-07-01,Commodity,0.1,
2012-07-01,Gold,0.1,
2013-01-01,LargeCap,0.1,
2013-01-01,MidCap,0.1,
2013-01-01,SmallCap,0.1,
2013-01-01,EAFE,0.1,
2013-01-01,EM,0.1,
2013-01-01,AggBond,0.1,
2013-01-01,Treasury,0.1,
2013-01-01,HighYield,0.1,
2013-01-01,Corporate,0.1,
2013-01-01,REIT,0.1,
2013-01-01,Commodity,0.1,
2013-01-01,Gold,53.366992,
2013-07-01,LargeCap,0.1,
2013-07-01,MidCap,0.1,
2013-07-01,SmallCap,0.1,
2013-07-01,EAFE,0.1,
2013-07-01,EM,0.1,
2013-07-01,AggBond,0.1,
2013-07-01,Treasury,0.1,
2013-07-01,HighYield,0.1,
2013-07-01,Corporate,0.1,
2013-07-01,REIT,0.1,
2013-07-01,Commodity,0.1,
2013-07-01,Gold,53.366992,
2014-01-01,LargeCap,0.1,
2014-01-01,MidCap,0.1,
2014-01-01,SmallCap,0.1,
2014-01-01,EAFE,0.1,
2014-01-01,EM,0.1,
2014-01-01,AggBond,0.1,
2014-01-01,Treasury,0.1,
2014-01-01,HighYield,0.1,
2014-01-01,Corporate,0.1,
2014-01-01,REIT,0.1,
2014-01-01,Commodity,0.1,
2014-01-01,Gold,0.1,
2014-07-01,LargeCap,0.1,
2014-07-01,MidCap,0.1,
2014-07-01,SmallCap,0.1,
2014-07-01,EAFE,0.1,
2014-07-01,EM,0.1,
2014-07-01,AggBond,0.1,
2014-07-01,Treasury,0.1,
2014-07-01,HighYield,0.1,
2014-07-01,Corporate,0.1,
2014-07-01,REIT,0.1,
2014-07-01,Commodity,0.1,
2014-07-01,Gold,0.1,
2015-01-01,LargeCap,0.1,
2015-01-01,MidCap,0.1,
2015-01-01,SmallCap,0.1,
2015-01-01,EAFE,0.1,
2015-01-01,EM,0.1,
2015-01-01,AggBond,0.1,
2015-01-01,Treasury,0.1,
2015-01-01,HighYield,0.1,
2015-01-01,Corporate,0.1,
2015-01-01,REIT,0.1,
2015-01-01,Commodity,8.111308,
2015-01-01,Gold,0.1,
2015-07-01,LargeCap,0.1,
2015-07-01,MidCap,0.1,
2015-07-01,SmallCap,0.1,
2015-07-01,EAFE,0.1,
2015-07-01,EM,0.1,
2015-07-01,AggBond,0.1,
2015-07-01,Treasury,0.1,
2015-07-01,HighYield,0.1,
2015-07-01,Corporate,0.1,
2015-07-01,REIT,0.1,
2015-07-01,Commodity,8.111308,
2015-07-01,Gold,0.1,
2016-01-01,LargeCap,0.1,
2016-01-01,MidCap,0.1,
2016-01-01,SmallCap,0.1,
2016-01-01,EAFE,0.1,
2016-01-01,EM,0.1,
2016-01-01,AggBond,0.1,
2016-01-01,Treasury,0.1,
2016-01-01,HighYield,0.1,
2016-01-01,Corporate,0.1,
2016-01-01,REIT,0.1,
2016-01-01,Commodity,0.1,
2016-01-01,Gold,0.1,
2016-07-01,LargeCap,0.1,
2016-07-01,MidCap,0.1,
2016-07-01,SmallCap,0.1,
2016-07-01,EAFE,0.1,
2016-07-01,EM,0.1,
2016-07-01,AggBond,0.1,
2016-07-01,Treasury,0.1,
2016-07-01,HighYield,0.1,
2016-07-01,Corporate,0.1,
2016-07-01,REIT,0.1,
2016-07-01,Commodity,0.1,
2016-07-01,Gold,0.1,
2017-01-01,LargeCap,0.1,
2017-01-01,MidCap,0.1,
2017-01-01,SmallCap,0.1,
2017-01-01,EAFE,0.1,
2017-01-01,EM,0.1,
2017-01-01,AggBond,28.480359,
2017-01-01,Treasury,28.480359,
2017-01-01,HighYield,0.1,
2017-01-01,Corporate,0.1,
2017-01-01,REIT,0.1,
2017-01-01,Commodity,0.1,
2017-01-01,Gold,0.1,
2017-07-01,LargeCap,0.1,
2017-07-01,MidCap,0.1,
2017-07-01,SmallCap,0.1,
2017-07-01,EAFE,0.1,
2017-07-01,EM,0.1,
2017-07-01,AggBond,28.480359,
2017-07-01,Treasury,28.480359,
2017-07-01,HighYield,0.1,
2017-07-01,Corporate,0.1,
2017-07-01,REIT,0.1,
2017-07-01,Commodity,0.1,
2017-07-01,Gold,0.1,
2018-01-01,LargeCap,0.1,
2018-01-01,MidCap,0.1,
2018-01-01,SmallCap,0.1,
2018-01-01,EAFE,0.1,
2018-01-01,EM,0.1,
2018-01-01,AggBond,100.0,
2018-01-01,Treasury,0.1,
2018-01-01,HighYield,0.1,
2018-01-01,Corporate,0.1,
2018-01-01,REIT,0.1,
2018-01-01,Commodity,0.1,
2018-01-01,Gold,0.1,
2018-07-01,LargeCap,0.1,
2018-07-01,MidCap,0.1,
2018-07-01,SmallCap,0.1,
2018-07-01,EAFE,0.1,
2018-07-01,EM,0.1,
2018-07-01,AggBond,100.0,
2018-07-01,Treasury,0.1,
2018-07-01,HighYield,0.1,
2018-07-01,Corporate,0.1,
2018-07-01,REIT,0.1,
2018-07-01,Commodity,0.1,
2018-07-01,Gold,0.1,
2019-01-01,LargeCap,0.1,
2019-01-01,MidCap,0.1,
2019-01-01,SmallCap,0.1,
2019-01-01,EAFE,0.1,
2019-01-01,EM,0.1,
2019-01-01,AggBond,0.1,
2019-01-01,Treasury,0.1,
2019-01-01,HighYield,0.1,
2019-01-01,Corporate,0.1,
2019-01-01,REIT,0.1,
2019-01-01,Commodity,1.232847,
2019-01-01,Gold,0.1,
2019-07-01,LargeCap,0.1,
2019-07-01,MidCap,0.1,
2019-07-01,SmallCap,0.1,
2019-07-01,EAFE,0.1,
2019-07-01,EM,0.1,
2019-07-01,AggBond,0.1,
2019-07-01,Treasury,0.1,
2019-07-01,HighYield,0.1,
2019-07-01,Corporate,0.1,
2019-07-01,REIT,0.1,
2019-07-01,Commodity,1.232847,
2019-07-01,Gold,0.1,
2020-01-01,LargeCap,0.1,
2020-01-01,MidCap,0.1,
2020-01-01,SmallCap,0.1,
2020-01-01,EAFE,0.1,
2020-01-01,EM,0.1,
2020-01-01,AggBond,0.1,
2020-01-01,Treasury,0.1,
2020-01-01,HighYield,0.1,
2020-01-01,Corporate,0.1,
2020-01-01,REIT,0.351119,
2020-01-01,Commodity,0.1,
2020-01-01,Gold,0.1,
2020-07-01,LargeCap,0.1,
2020-07-01,MidCap,0.1,
2020-07-01,SmallCap,0.1,
2020-07-01,EAFE,0.1,
2020-07-01,EM,0.1,
2020-07-01,AggBond,0.1,
2020-07-01,Treasury,0.1,
2020-07-01,HighYield,0.1,
2020-07-01,Corporate,0.1,
2020-07-01,REIT,0.351119,
2020-07-01,Commodity,0.1,
2020-07-01,Gold,0.1,
2021-01-01,LargeCap,4.328761,
2021-01-01,MidCap,0.1,
2021-01-01,SmallCap,2.31013,
2021-01-01,EAFE,0.1,
2021-01-01,EM,0.1,
2021-01-01,AggBond,0.1,
2021-01-01,Treasury,0.1,
2021-01-01,HighYield,0.1,
2021-01-01,Corporate,0.1,
2021-01-01,REIT,0.1,
2021-01-01,Commodity,0.1,
2021-01-01,Gold,0.1,
2021-07-01,LargeCap,4.328761,
2021-07-01,MidCap,0.1,
2021-07-01,SmallCap,2.31013,
2021-07-01,EAFE,0.1,
2021-07-01,EM,0.1,
2021-07-01,AggBond,0.1,
2021-07-01,Treasury,0.1,
2021-07-01,HighYield,0.1,
2021-07-01,Corporate,0.1,
2021-07-01,REIT,0.1,
2021-07-01,Commodity,0.1,
2021-07-01,Gold,0.1,
2022-01-01,LargeCap,0.1,
2022-01-01,MidCap,0.1,
2022-01-01,SmallCap,0.1,
2022-01-01,EAFE,0.1,
2022-01-01,EM,0.1,
2022-01-01,AggBond,0.1,
2022-01-01,Treasury,0.1,
2022-01-01,HighYield,0.1,
2022-01-01,Corporate,0.1,
2022-01-01,REIT,0.1,
2022-01-01,Commodity,0.1,
2022-01-01,Gold,0.1,
2022-07-01,LargeCap,0.1,
2022-07-01,MidCap,0.1,
2022-07-01,SmallCap,0.1,
2022-07-01,EAFE,0.1,
2022-07-01,EM,0.1,
2022-07-01,AggBond,0.1,
2022-07-01,Treasury,0.1,
2022-07-01,HighYield,0.1,
2022-07-01,Corporate,0.1,
2022-07-01,REIT,0.1,
2022-07-01,Commodity,0.1,
2022-07-01,Gold,0.1,
2023-01-01,LargeCap,0.1,
2023-01-01,MidCap,0.1,
2023-01-01,SmallCap,0.1,
2023-01-01,EAFE,0.1,
2023-01-01,EM,0.1,
2023-01-01,AggBond,0.1,
2023-01-01,Treasury,0.1,
2023-01-01,HighYield,0.1,
2023-01-01,Corporate,0.1,
2023-01-01,REIT,0.1,
2023-01-01,Commodity,0.1,
2023-01-01,Gold,0.1,
2023-07-01,LargeCap,0.1,
2023-07-01,MidCap,0.1,
2023-07-01,SmallCap,0.1,
2023-07-01,EAFE,0.1,
2023-07-01,EM,0.1,
2023-07-01,AggBond,0.1,
2023-07-01,Treasury,0.1,
2023-07-01,HighYield,0.1,
2023-07-01,Corporate,0.1,
2023-07-01,REIT,0.1,
2023-07-01,Commodity,0.1,
2023-07-01,Gold,0.1,
